,Name,Astrocyte_Astrocyte_30,Astrocyte_Endothelial_30,Astrocyte_Glioma_30,Astrocyte_Leukocyte_30,Astrocyte_Negative_30,Astrocyte_Oligodendrocyte_30,Astrocyte_PVC_30,Astrocyte_TAMM_30,Endothelial_Astrocyte_30,Endothelial_Endothelial_30,Endothelial_Glioma_30,Endothelial_Leukocyte_30,Endothelial_Negative_30,Endothelial_Oligodendrocyte_30,Endothelial_PVC_30,Endothelial_TAMM_30,Glioma_Astrocyte_30,Glioma_Endothelial_30,Glioma_Glioma_30,Glioma_Leukocyte_30,Glioma_Negative_30,Glioma_Oligodendrocyte_30,Glioma_PVC_30,Glioma_TAMM_30,Leukocyte_Astrocyte_30,Leukocyte_Endothelial_30,Leukocyte_Glioma_30,Leukocyte_Leukocyte_30,Leukocyte_Negative_30,Leukocyte_Oligodendrocyte_30,Leukocyte_PVC_30,Leukocyte_TAMM_30,Negative_Astrocyte_30,Negative_Endothelial_30,Negative_Glioma_30,Negative_Leukocyte_30,Negative_Negative_30,Negative_Oligodendrocyte_30,Negative_PVC_30,Negative_TAMM_30,Oligodendrocyte_Astrocyte_30,Oligodendrocyte_Endothelial_30,Oligodendrocyte_Glioma_30,Oligodendrocyte_Leukocyte_30,Oligodendrocyte_Negative_30,Oligodendrocyte_Oligodendrocyte_30,Oligodendrocyte_PVC_30,Oligodendrocyte_TAMM_30,PVC_Astrocyte_30,PVC_Endothelial_30,PVC_Glioma_30,PVC_Leukocyte_30,PVC_Negative_30,PVC_Oligodendrocyte_30,PVC_PVC_30,PVC_TAMM_30,TAMM_Astrocyte_30,TAMM_Endothelial_30,TAMM_Glioma_30,TAMM_Leukocyte_30,TAMM_Negative_30,TAMM_Oligodendrocyte_30,TAMM_PVC_30,TAMM_TAMM_30,Astrocyte_Astrocyte_50,Astrocyte_Endothelial_50,Astrocyte_Glioma_50,Astrocyte_Leukocyte_50,Astrocyte_Negative_50,Astrocyte_Oligodendrocyte_50,Astrocyte_PVC_50,Astrocyte_TAMM_50,Endothelial_Astrocyte_50,Endothelial_Endothelial_50,Endothelial_Glioma_50,Endothelial_Leukocyte_50,Endothelial_Negative_50,Endothelial_Oligodendrocyte_50,Endothelial_PVC_50,Endothelial_TAMM_50,Glioma_Astrocyte_50,Glioma_Endothelial_50,Glioma_Glioma_50,Glioma_Leukocyte_50,Glioma_Negative_50,Glioma_Oligodendrocyte_50,Glioma_PVC_50,Glioma_TAMM_50,Leukocyte_Astrocyte_50,Leukocyte_Endothelial_50,Leukocyte_Glioma_50,Leukocyte_Leukocyte_50,Leukocyte_Negative_50,Leukocyte_Oligodendrocyte_50,Leukocyte_PVC_50,Leukocyte_TAMM_50,Negative_Astrocyte_50,Negative_Endothelial_50,Negative_Glioma_50,Negative_Leukocyte_50,Negative_Negative_50,Negative_Oligodendrocyte_50,Negative_PVC_50,Negative_TAMM_50,Oligodendrocyte_Astrocyte_50,Oligodendrocyte_Endothelial_50,Oligodendrocyte_Glioma_50,Oligodendrocyte_Leukocyte_50,Oligodendrocyte_Negative_50,Oligodendrocyte_Oligodendrocyte_50,Oligodendrocyte_PVC_50,Oligodendrocyte_TAMM_50,PVC_Astrocyte_50,PVC_Endothelial_50,PVC_Glioma_50,PVC_Leukocyte_50,PVC_Negative_50,PVC_Oligodendrocyte_50,PVC_PVC_50,PVC_TAMM_50,TAMM_Astrocyte_50,TAMM_Endothelial_50,TAMM_Glioma_50,TAMM_Leukocyte_50,TAMM_Negative_50,TAMM_Oligodendrocyte_50,TAMM_PVC_50,TAMM_TAMM_50,nCells,Astrocyte_abundance,Endothelial_abundance,Glioma_abundance,Leukocyte_abundance,Negative_abundance,Oligodendrocyte_abundance,PVC_abundance,TAMM_abundance,Astrocyte_fraction,Endothelial_fraction,Glioma_fraction,Leukocyte_fraction,Negative_fraction,Oligodendrocyte_fraction,PVC_fraction,TAMM_fraction
0,"Gbg LGG TMA 6 Panel 2_Core[1,1,A]_[6154,32512]_component_data.tif - resolution #1",0.0,-0.6704238464972756,-0.4359593102811473,-0.4519946843197237,1.2821281297109794,1.509966582467964,-0.5535807132364016,-0.3002237863866805,-0.7742768256987175,0.0,-1.9024015681274258,16.463039884728662,-1.6788873933640702,-1.7128677555311826,12.145554858691773,0.9744378476339358,-1.2760351233788303,-0.5976977606860686,0.0,1.3460482949666022,0.16299978926358427,0.8242749470436869,-0.9489087077759121,-0.23436756694971764,-0.6477058747487043,12.892050733394637,-2.8715438863814358,0.0,-0.4775748665358933,-1.2675937238453479,17.154262350442405,0.2600867939155156,0.9186636232936559,-1.370972516671615,0.09517516247959548,0.9044863174043675,0.0,0.3551013665306294,-1.2957803106023207,-0.04125442416700907,1.1658305684200028,-1.5797712261749355,0.2933141814390749,-0.6729540849914318,0.20932862526989915,0.0,0.6428637099919462,-0.9161464357767687,-0.6740009094231819,11.408892074955233,-2.8339576412485283,20.48008002264062,-1.7421784599471468,0.22353137110954918,0.0,1.1942280406906833,-0.5262446967524318,1.4315024378113796,-0.30378683980072385,1.7774302943758264,-0.0432742630194767,-0.7967676713680885,1.9624277709806717,0.0,0.0,-1.2145733652565216,-1.0049215314491116,-0.8188545079417194,3.1712376119682713,1.3506581895748377,-0.005745742939543019,-0.03972924203609136,-1.2138456867696912,0.0,-1.9355495411805934,12.64385225256642,1.4632805468226422,-1.645113912031509,10.371442754301258,-0.48409948983156426,-0.8775490016482748,-1.744622780044737,0.0,1.3942398676682923,0.13486596103705917,1.001833465531174,-0.8676434304882694,0.017012400613182956,-0.9606993330214233,10.33362442575831,-2.6001319214014447,0.0,1.2400274143360535,-0.8413570866830162,12.368176173010326,0.01094998668716794,3.1010644519304833,1.3686371401850737,-1.0948894300247427,2.6674637648854835,0.0,1.100030256504241,1.2487026643239334,0.40907423889086336,1.2736720796241077,-1.7213879873889657,-0.207163985055196,-0.18516489520822366,0.9797028936090227,0.0,0.649185654820151,-0.08904972957589513,-0.14568264437838827,9.430912293501375,-2.9277875066336323,13.767531339624112,0.6477096538726764,0.2953194177442018,0.0,1.5557292084018894,-0.03755125824301378,-0.48601998506943817,-0.4824851582723445,1.214764950016488,0.6031943572855613,0.14509565796265791,2.2575617646165376,0.0,1917,8.0,22,1539,10.0,139,63.0,15,121,0.004173187271778821,0.011476264997391758,0.8028169014084507,0.005216484089723527,0.07250912884715702,0.03286384976525822,0.00782472613458529,0.06311945748565467
1,"Gbg LGG TMA 6 Panel 2_Core[1,1,C]_[9961,32361]_component_data.tif - resolution #1",,,,,,,,,,0.0,-1.676155978818622,6.777897379792925,1.2126318018991775,,8.978771374862678,1.3587387124943273,,-4.153636504054801,0.0,-0.6599235298984099,2.7987884274838817,,-0.5335528983429547,0.6034662271859378,,5.600462081012927,-0.9785676737502391,0.0,-0.9260849234400268,,-0.29406710422499205,1.0657146000836308,,-0.10982748785718313,0.1550138936564158,-0.9303857141396313,0.0,,0.8267228955445826,-0.9027036018459954,,,,,,,,,,7.002729660998201,-1.5904867128658717,-0.30318821068713286,0.7091220065437941,,0.0,0.37811460740151837,,0.6223047727443819,-0.036230277909932856,1.138439728033698,-0.6587731412686826,,0.5570201311002713,0.0,,,,,,,,,,0.0,-1.2314426950988437,3.3686818017414932,0.2835001423101844,,7.812617637276669,1.7305858887495558,,-5.730923574266929,0.0,-0.27002421052551734,3.3152698439548955,,-1.0953464202996717,1.6853545116049502,,2.8962245930523305,-0.12084132473429948,0.0,-1.4754824864537799,,-0.4685236652798721,0.08926262885043686,,-1.461553321611402,0.52883446058033,-1.554205372334827,0.0,,-0.2127525251144245,-0.8289866630075708,,,,,,,,,,6.505895992860261,-1.3155410570778547,-0.48025319379184184,-0.04918786374143756,,0.0,0.5896576795523506,,0.4251990041246588,0.0943772414670138,-0.007371925903896313,-0.7853874079659182,,0.48346202719888426,0.0,1807,,57,1566,3.0,119,,12,50,,0.03154399557277255,0.8666297731045932,0.0016602102933038186,0.06585500830105147,,0.006640841173215274,0.02767017155506364
2,"Gbg LGG TMA 6 Panel 2_Core[1,1,D]_[11916,32277]_component_data.tif - resolution #1",0.0,1.4708288244038934,0.19387850588011687,-0.5127083552408853,-1.4300727019705706,1.3172763545506594,-0.9494567113346123,1.0654135627768064,0.588923939166675,0.0,-1.9345232689451135,6.630270203903267,-2.7536074347675092,-0.2842331912822241,13.236833577833494,0.6979848951556804,-1.325115100961737,-1.2787616648714315,0.0,1.4577617688839883,0.6323032598888413,-2.369849550988729,-1.504133570313212,1.8988335646019951,-0.909977578092809,4.224351404833542,-1.1566755261401156,0.0,-0.4605269034430566,0.5407883881198453,5.527084031282483,-1.6509264764360074,-2.4761697927598014,-2.1496727267169797,0.9959241008795203,2.2345365542738116,0.0,2.2029280876294894,-1.6993583871788858,-0.54846905577859,0.7216032239066865,-0.010973639368120958,-2.187026793811405,1.79696233111566,2.3245378332258775,0.0,-0.7440776314626187,-0.2387029879395701,-1.2532316531229561,12.694136591287995,-2.310935418986268,7.990142666963356,-2.452900120564057,-0.9899183767855898,0.0,0.8465138915673761,-0.09437010023546925,0.8930948072729719,1.0316895710094183,-0.8131181660425627,-1.424822608003464,-0.5744740812825556,1.2486407083881033,0.0,0.0,0.508940011219359,0.23427055171944525,-0.9876346219160662,-0.8470173180760686,-0.12801964528018261,-1.2820507515762454,1.579484194504996,0.09451283388173219,0.0,-1.299258815052528,5.464910119664988,-1.0824719391587951,-1.1463124630595372,9.364936896460888,-0.6037873617789496,-0.17569839243554342,-0.1503906388429648,0.0,1.0728610978204636,0.6047713132808634,-5.090647641995445,-1.1298727884195163,2.2870061584923964,-1.3126899485613572,3.9400748801440377,-1.47245118898813,0.0,0.33391194508592736,-0.5017267058540822,5.372426164578699,-1.4267054936966754,-1.4943783063942284,-0.45237268116489265,-0.9470296161529204,2.86244218756254,0.0,4.9966166778641705,-0.438942755138032,-0.7225391886820951,-0.1522317524026605,-0.7518235401403554,-4.771916095864733,0.2908090213146749,6.0435178331466055,0.0,-1.0941516700696194,-0.3877588382824827,-1.5228331231987797,9.164062676813817,-2.239494947802284,6.971604705260367,-1.1649002157367228,-1.4378890511090154,0.0,1.0363834198831905,0.9791463526614473,-0.35225227859169367,0.8890496713346943,-0.40264311605356956,-1.1242720677201137,-0.964895811821993,1.4327756465505384,0.0,1035,23.0,35,432,7.0,351,38.0,24,125,0.022222222222222223,0.033816425120772944,0.41739130434782606,0.00676328502415459,0.3391304347826087,0.03671497584541063,0.02318840579710145,0.12077294685990338
3,"Gbg LGG TMA 6 Panel 2_Core[1,1,E]_[13708,32361]_component_data.tif - resolution #1",0.0,-1.0720281490777475,-1.4921520532002113,-1.2878798293116236,2.860829598875179,2.7246246928535003,-1.1349564370014775,0.6385929983091556,-0.9270674294624557,0.0,-2.8787053808159784,-0.4210581278669586,0.22691654875723696,-0.24452430235552863,28.667228398782566,1.8190098632378775,-1.239881629689312,-4.030767261767067,0.0,1.609277056176755,-0.0219195682313425,-0.7407976160179259,-1.1263917119793014,1.0795609986114167,-1.3272292951461646,-0.6440373618354193,0.8915567922970664,0.0,0.11497249054646547,-0.34759933514751135,1.2873623421102651,-1.6896015863925078,2.777267953496191,-0.6376586475841111,-1.663182439171259,0.26074835875064173,0.0,1.0389018827704959,-1.777352217184708,2.894188361555559,2.2865948245645846,-0.29912444323712917,-1.3415460725589323,-0.3935246215892336,0.5678224978563114,0.0,-0.20321489633604162,1.7907718206547045,-1.1596132947561906,26.15018781223499,-1.5934119724666633,1.2546510474808013,-1.9004239923292332,-0.18109762481041888,0.0,-0.5011984070184092,0.4531273766568651,0.8500747172682316,-1.250387533774571,-1.6846643197776667,2.4143301286796555,2.3514907411562067,-0.43200610900659386,0.0,0.0,-0.6986870487951528,-3.2785235565452173,-1.5612011092469524,4.1172365086495315,1.2521042237043818,-1.9182979143976306,3.219996166764352,-0.5852565745736469,0.0,-1.479567686260954,1.2598674550582136,-1.8353174593032444,-0.43096538357625896,31.99919455602355,0.03818678879883632,-2.4622973311319027,-1.7334659786924351,0.0,1.954916132266921,-0.8230507569323038,-0.31059403756267895,-1.6504207579611732,1.7494480254917821,-1.5541645840383578,1.1069414309032573,1.093151548275731,0.0,-1.321938854324189,-0.5794436241625368,2.476556533121122,-1.0045950853037953,4.316401058992513,-2.166568270243973,-3.022919102506122,-1.1819761209845048,0.0,2.4839665944800147,-3.449971029685939,6.224132576000937,1.0526205804690971,-0.48077523203422484,-1.1117517584375156,-0.6325022326823709,1.86415928136227,0.0,-0.3266222340447775,0.31764423554641863,-1.884271894301926,31.822588608702798,-1.614314934869964,2.585287407178835,-3.3162540118835806,-0.2942683579214717,0.0,-0.34739574952706365,3.0109550210161777,-0.5441983555429504,-2.7819114319089966,-1.2200396406827967,4.811208152722725,0.6725939619026882,-0.6696125987779774,0.0,3488,41.0,26,2246,45.0,629,1.0,12,488,0.011754587155963303,0.007454128440366973,0.6439220183486238,0.012901376146788992,0.18033256880733944,0.00028669724770642203,0.0034403669724770644,0.13990825688073394
4,"Gbg LGG TMA 6 Panel 2_Core[1,1,G]_[17391,32298]_component_data.tif - resolution #1",0.0,-1.2057739280950004,0.584519901420754,-0.13828808067853976,-1.2448200063444355,,-0.6184699145578625,0.7717910667444348,-1.113475248549244,0.0,-1.8975531415517448,-0.42080072510277966,4.141541049176951,,3.965185889271113,0.9746325322357594,1.3147878594143094,-1.956707362234631,0.0,-0.8938764370623017,0.9131007527216515,,0.9390174049120599,0.2483584353126489,-0.10536759074822584,-0.3471926300647876,-0.4817464367025883,0.0,-0.358431873296852,,5.436629895492944,-0.31104798058255806,-1.251143558976983,3.1630741053508045,-1.5089821790765316,-0.4728121191631255,0.0,,5.455561494422282,-0.1724868304654602,,,,,,,,,-0.7201268595683524,2.2649377932710144,-2.472885065189504,3.4020991598073285,4.085409066455944,,0.0,2.5800862072322848,0.8718370635648184,0.630699269291319,-0.8263069453973216,-0.394600261819428,0.10942226589526204,,3.9035491490680725,0.0,0.0,-0.14451421521189878,0.06890635211913272,-0.2378528563702149,-1.2066222862698375,,-1.0637596323900176,1.9107282002492458,0.11142525237308408,0.0,-1.185741021155331,-0.7351852663408176,2.456350035061412,,3.1009789292275216,0.17984925723466494,1.4321103546276732,-0.005097390882916677,0.0,-0.7136341998575195,1.3701837694105323,,-0.4632989999233422,-1.6949767532081594,-0.19712478135822206,-0.6495404113559562,-0.26954159497653113,0.0,0.820764985540053,,2.668001879690019,-0.5819192681530756,-1.0894189031204717,2.0553418009758837,-1.1580049850437362,0.5056882354171838,0.0,,3.699280159249179,0.49703296661951246,,,,,,,,,-1.0457059282501802,2.6508825387913575,-2.1340243484648016,2.1350229403964245,3.473322134209464,,0.0,1.7733944702371593,2.5066286397276416,0.6464886008222036,-1.105619924171105,-0.6328612970313515,1.329107191855527,,2.470653035653089,0.0,1262,7.0,76,1016,1.0,81,,20,61,0.005546751188589541,0.060221870047543584,0.8050713153724247,0.000792393026941363,0.06418383518225039,,0.01584786053882726,0.04833597464342314
5,"Gbg LGG TMA 6 Panel 2_Core[1,1,I]_[21137,32425]_component_data.tif - resolution #1",0.0,-0.9461622281338803,0.8014711177041033,-0.5364115151421389,-0.5845977297598858,1.399865537122611,-1.1589661445689696,-0.7198241186592055,-1.2351541360464662,0.0,-3.8738291290368747,-1.173678162897714,0.43381688675413416,-1.4962896075082204,21.550034046588788,-1.2179265344718726,2.1046762328462774,0.8504013688457824,0.0,-0.9057621989109114,-0.9254962303913327,1.6007835592883843,-1.0261265828605834,-0.4898596790425389,-0.4080562063707463,-0.7864793269292316,-0.046465277323343525,0.0,1.641373854754587,-0.7068096602982237,-0.5770931455817404,-0.9059901157546257,-0.12064732753904153,3.4268614435750586,-2.0830213593146345,0.7523081426512538,0.0,-0.41008120143523347,3.0187320350230897,1.075486188416089,1.5907971423864227,-0.7045016561862983,0.3649043519988761,-0.888538005974753,-0.7672537023567794,0.0,-0.35630601381255084,0.6391230836551219,-1.404566494104742,19.857170212405734,-5.002621315647539,-0.9193479742510374,0.02424211553325846,-1.1996038736786852,0.0,-0.8729855705362266,-0.461517284650264,0.2252123132723126,-0.9739822715224279,-1.0892529127341484,1.1817805933191863,0.9374224033894828,0.6232775355440257,0.0,0.0,-1.5979141732851838,1.7558874349132547,-0.823029333453774,-0.8621742075100876,0.11886156097843822,-1.2156343115043193,-1.3583242060186502,-1.8315372460729549,0.0,-2.407704572497297,-1.7024087711007214,-0.20095502786748784,0.6046387923618649,15.644879996002015,-1.791060338875549,2.0715989039060996,0.4153127908415319,0.0,-0.9456604382294997,0.15448342827838052,-0.35898056000181705,-0.5858717778597815,-0.6220106837920799,-0.6968912444651887,-1.3431877850939125,0.4880679145180745,0.0,1.0838417665915003,-1.2071208194966436,0.029165167855247413,-0.9008304069410772,-0.8755183147637183,1.1672685168732808,-1.0866255679344394,0.016449413153746827,0.0,-0.3173243039284787,2.586613902962499,0.9974958468803943,0.1360220189694964,1.3228135316889837,-0.7353994860804234,-1.4201859180234642,-0.22926703035129845,0.0,2.8017952297177877,-0.03932449239634307,-1.574220959242335,13.9328255450656,-4.3123718666402375,-0.6065278123032991,0.24170055853819183,1.4804073811408005,0.0,-0.19769691229402717,-1.2794783520085369,-0.9238344970823166,-0.570723156137505,-1.2358029527706276,1.4531923587878708,0.10352049023302781,1.2902370438243917,0.0,1015,14.0,52,599,6.0,205,42.0,28,69,0.013793103448275862,0.05123152709359606,0.5901477832512315,0.005911330049261084,0.2019704433497537,0.041379310344827586,0.027586206896551724,0.06798029556650247
6,"Gbg LGG TMA 6 Panel 2_Core[1,10,A]_[6289,47829]_component_data.tif - resolution #1",0.0,-1.8660463167032446,0.2151464162942294,,1.1397044309718845,0.6542202062737162,-0.5124509097909458,-0.6780209210017757,-1.3665562002355698,0.0,-3.3618653758593773,,-1.8545495392506772,2.5743650036036723,17.85201273268515,6.565360473313207,0.7855571180765538,-7.348604331312506,0.0,,4.028638480019932,1.0213405955578105,-2.0960769470830223,0.8714655320256055,,,,,,,,,0.9213921069253386,-3.3635278839518477,1.4815101401483237,,0.0,0.5669839885055037,-1.1238874013530278,-2.2032250022491215,0.5849902075154757,0.5307207072988079,-0.1750404422401643,,0.7176053884202948,0.0,-0.7545892331111206,-0.6959696671902452,-0.5623453086186243,11.421100094612296,-2.6478471330586353,,-1.1899063246277388,-0.8140240308473894,0.0,1.1637814886520315,-0.6322358619459592,3.00791246954754,-0.054349450370481694,,-1.7799142119952776,-0.5063094514056041,1.5471284431909034,0.0,0.0,1.9342254374204826,-1.0646532178043917,,2.1783312568612603,0.1462135816890632,-0.8310762154919603,-0.4233949621881885,2.631591222390393,0.0,-3.6621089623493903,,-2.4677455780282402,5.198600154198904,16.13011588282245,4.764486762352811,-1.1869803928354647,-6.5715520702899815,0.0,,4.8548619068508545,-0.214568896729253,-1.551124615128677,1.1408138279936335,,,,,,,,,1.4700785191084218,-3.9548068802180785,1.2233758817637665,,0.0,-0.3344575084960859,-1.8853331269775,-0.577257597551622,-0.02811489985679317,3.6809258835239635,-1.0990578002573095,,0.13870277960682342,0.0,3.5961245478623254,-0.4184656042645952,-0.9835173965831632,11.879668022814025,-3.0247836052517094,,-2.0811235240657195,2.7913954825078124,0.0,0.5767608773632371,-0.7150008488260237,2.7020553547827215,-0.5801080819207339,,0.04296829924050282,-0.4857914758943951,1.2352797320869362,0.0,1133,21.0,53,814,,94,44.0,4,103,0.018534863195057368,0.04677846425419241,0.7184466019417476,,0.08296557811120918,0.038834951456310676,0.00353045013239188,0.09090909090909091
7,"Gbg LGG TMA 6 Panel 2_Core[1,10,B]_[8125,47800]_component_data.tif - resolution #1",0.0,-1.5709784071182897,0.8367026561127163,-0.6504547089309538,0.7416387734827314,1.4107366610013414,-1.369222875119542,-2.1696225120657204,-1.7053042555842528,0.0,-2.7931947544062994,-0.0596768344231733,0.9041207690946755,0.3692878467652328,10.282169673947514,0.25344029716444827,0.10733333753562427,-2.500051796142645,0.0,-4.691998676859618,2.334401862702079,2.366122954390428,-5.890685329094093,1.9379368932839072,-0.6560549569638705,0.06301097770171409,-4.470127431942583,0.0,-1.7835194440433964,-1.1275497431949884,19.900667686963917,2.176355472393615,0.17769486109828644,0.3750551654442695,-0.13043294862454527,-1.941959524596043,0.0,-1.1668401681231393,-0.18493298398858884,1.6999892246712252,0.9331397634393082,0.2122175883790618,1.231066107213719,-1.2951596020269118,-0.6335762063588573,0.0,-1.7539849413175048,-1.6323283125362982,-1.4974941673919362,10.278927388333601,-6.134315346121787,18.94174811526506,0.2782646084033494,-1.632795056366211,0.0,6.721611913233175,-2.55773968844617,-0.3209731124508093,-0.8875381291261057,1.647858653901819,1.724171765036765,-2.2123892902058016,5.938603343242863,0.0,0.0,-0.5416486474660462,1.7284731113378424,-1.1379458346906162,-0.544865535757919,-0.4531306331371535,-2.4137080755411278,-1.4523453262410415,-0.7546883923918207,0.0,-2.5396645394941433,-1.6695277447422774,1.984211020126729,0.3760168940513523,6.354762908786047,1.1048672141915583,1.5189769890685243,-1.0586839965916295,0.0,-5.497484073284871,3.9437685542765,-0.18819406821528983,-6.37250845231601,2.1525175232331586,-1.1150799262214384,-1.5000817102942934,-5.134082043348848,0.0,-1.0516164608478384,-1.0075369961687957,21.365907602890502,3.4193335959707016,-0.9707303760225913,1.6138897000273509,0.5147904817298176,-1.3998966778992288,0.0,-2.6501851571082686,-2.0766007421172334,2.1298499688889385,-0.500816927101697,1.0345344974933086,0.03694757167276319,-1.1592695382261748,-1.3989818769533664,0.0,0.8211959211049743,0.31299432302017494,-2.3638309189243456,7.272208335317927,-5.443762881074414,21.149571272520877,-1.058297748514016,1.1835983870428088,0.0,5.101007261133703,-1.8760390990209455,0.7931522850793762,-1.427254873429756,2.741786863672419,2.270447604239243,-1.0997754734664276,3.6366540994944354,0.0,1890,18.0,80,1216,8.0,133,182.0,68,185,0.009523809523809525,0.042328042328042326,0.6433862433862434,0.004232804232804233,0.07037037037037037,0.0962962962962963,0.03597883597883598,0.09788359788359788
8,"Gbg LGG TMA 6 Panel 2_Core[1,2,A]_[6215,34139]_component_data.tif - resolution #1",0.0,-0.7663929203169052,-0.15614415029586812,,1.1394193917849444,-0.34772504882995225,-0.5257209743012076,-0.1311405174256175,-0.796881693744963,0.0,-1.6928880383455005,,0.7925574427766818,0.1178640972583899,6.293357757232182,1.9429738894460487,-0.10159025908078051,-0.7999612960701208,0.0,,1.361067518963706,-0.030931511532543775,-0.8939987658699532,-0.8085806434472984,,,,,,,,,1.0069264016835051,0.8557036831368101,-0.30068015336894655,,0.0,4.120111100548141,0.43858455961882103,-1.4329346214426746,-0.40489638008068546,-0.10870226455867177,-1.4688716132993054,,3.2089302181334984,0.0,-0.7243329968427847,1.2484825618153392,-0.5505025288597675,6.229043648681928,-1.576781855222217,,0.35390396419511305,-0.651373148687187,0.0,1.0004954174195415,-0.09281542477221037,2.39614051377819,-0.4832930054848858,,-0.9260833297388117,1.9883751536596195,1.3288688814106002,0.0,0.0,-1.1529354000726968,-0.702623125069473,,1.6908834137114266,-0.5231094835859692,-0.7908805199305048,1.5068122825264876,-1.2356511564569896,0.0,-1.5758480295667816,,1.2148476521116571,0.5901994118893789,3.6723386309752843,2.196083467223399,-1.2692862161219047,-1.0496657000306675,0.0,,0.19673007203587492,0.09201422754206927,0.3384851628601952,0.6476467055727676,,,,,,,,,1.2930639536447903,1.2838311347808966,-0.5930465778136657,,0.0,2.018768182072951,0.9749132249369787,-0.3949887639602869,-0.592156476702504,0.3987587950824661,-0.9455059647991343,,1.5596602003159334,0.0,0.8288841511556555,0.6376798682678191,-0.8756796102787426,3.410683451309383,-0.7586401023564976,,0.6135039888442655,0.8943186480502773,0.0,-0.6670806363034628,1.1637771923764713,2.149092349382365,-0.32149049017350256,,-0.5531998840992148,0.8880886005051277,-0.5056748373135659,0.0,1105,5.0,34,845,,132,7.0,16,66,0.004524886877828055,0.03076923076923077,0.7647058823529411,,0.11945701357466064,0.006334841628959276,0.014479638009049774,0.05972850678733032
9,"Gbg LGG TMA 6 Panel 2_Core[1,2,C]_[9961,34139]_component_data.tif - resolution #1",0.0,-0.26804746269904267,1.097654802533613,,-1.0165295195181343,-1.3000849879968357,-0.9215165236258366,-0.3277936102881709,-0.40284717993475244,0.0,-2.1493401083864683,,3.4464766097987707,-1.410636662094456,8.392962451318663,0.9998188273695093,1.2792307047869607,-1.0420090980663628,0.0,,0.13717920045757945,-0.5714793427412458,1.238017456510256,-0.04738885372480855,,,,,,,,,-1.1876391040906777,3.685118996380301,-1.6974179968910885,,0.0,1.6308158500075227,3.2296075209909545,0.842990997060875,-1.3131062446994604,-1.169475018517925,-1.0420405495667626,,2.057697629826686,0.0,-0.92823083111364,2.2064236419035086,-1.1075419314709154,7.006307219345373,-1.3165118197485428,,1.955560177428815,-1.4847926530727786,0.0,-0.42830798175241713,-0.44253037466070877,1.1812574942147063,-1.2036048551289256,,0.9158369445331263,1.9372228484056417,0.21489360188655077,0.0,0.0,0.056943176582036466,0.2742779745957381,,-0.1232747609886109,-0.1033636299827183,-0.9069997093885149,-0.32720596801502655,-0.26498595859743257,0.0,-2.839337306964672,,4.436515616489687,-0.7698095158464049,8.711121303133753,1.0304140095509189,0.5733990560968627,-0.43508801345526465,0.0,,0.06191679762531682,-0.4708151580194491,0.7037393990031648,0.1305409639654497,,,,,,,,,-0.3009030686519618,5.3394287199910275,-1.9861480002908847,,0.0,1.1526923147697195,5.966292932752933,-0.14102952246612027,-0.0529944740089813,-0.04223150206203659,-0.7625208674543307,,1.7038446321702856,0.0,-0.8047574904526117,0.4552161743443168,-1.207635903540099,7.822181958351091,-2.2856929299002644,,4.289432251860536,-1.6057715429456039,0.0,-0.7526923247980194,-0.33040165370424823,1.770985242684578,-0.49281621785974006,,0.2148800567336028,0.34359297824889773,0.08713254824206959,0.0,1603,26.0,37,1113,,193,116.0,13,105,0.016219588271990017,0.023081721771678103,0.6943231441048034,,0.12039925140361822,0.07236431690580163,0.008109794135995009,0.06550218340611354
