,Name,Astrocyte_Astrocyte_30,Astrocyte_Endothelial_30,Astrocyte_Glioma_30,Astrocyte_Negative_30,Astrocyte_TAMM_30,Endothelial_Astrocyte_30,Endothelial_Endothelial_30,Endothelial_Glioma_30,Endothelial_Negative_30,Endothelial_TAMM_30,Glioma_Astrocyte_30,Glioma_Endothelial_30,Glioma_Glioma_30,Glioma_Negative_30,Glioma_TAMM_30,Negative_Astrocyte_30,Negative_Endothelial_30,Negative_Glioma_30,Negative_Negative_30,Negative_TAMM_30,TAMM_Astrocyte_30,TAMM_Endothelial_30,TAMM_Glioma_30,TAMM_Negative_30,TAMM_TAMM_30,Astrocyte_Astrocyte_50,Astrocyte_Endothelial_50,Astrocyte_Glioma_50,Astrocyte_Negative_50,Astrocyte_TAMM_50,Endothelial_Astrocyte_50,Endothelial_Endothelial_50,Endothelial_Glioma_50,Endothelial_Negative_50,Endothelial_TAMM_50,Glioma_Astrocyte_50,Glioma_Endothelial_50,Glioma_Glioma_50,Glioma_Negative_50,Glioma_TAMM_50,Negative_Astrocyte_50,Negative_Endothelial_50,Negative_Glioma_50,Negative_Negative_50,Negative_TAMM_50,TAMM_Astrocyte_50,TAMM_Endothelial_50,TAMM_Glioma_50,TAMM_Negative_50,TAMM_TAMM_50,nCells,Astrocyte_abundance,Endothelial_abundance,Glioma_abundance,Negative_abundance,TAMM_abundance,Astrocyte_fraction,Endothelial_fraction,Glioma_fraction,Negative_fraction,TAMM_fraction,Astrocyte_Neuron_30,Endothelial_Neuron_30,Glioma_Neuron_30,Negative_Neuron_30,Neuron_Astrocyte_30,Neuron_Endothelial_30,Neuron_Glioma_30,Neuron_Negative_30,Neuron_Neuron_30,Neuron_TAMM_30,TAMM_Neuron_30,Astrocyte_Neuron_50,Endothelial_Neuron_50,Glioma_Neuron_50,Negative_Neuron_50,Neuron_Astrocyte_50,Neuron_Endothelial_50,Neuron_Glioma_50,Neuron_Negative_50,Neuron_Neuron_50,Neuron_TAMM_50,TAMM_Neuron_50,Neuron_abundance,Neuron_fraction
23,"LGG TMA 6_2_Core[1,12,G]_[16947,53647]_component_data.tif - resolution #1",inf,0.9762096121766277,-0.05839003201362098,-1.3083474911877613,1.2079193447798735,1.3345309600311452,inf,-1.6423700881605292,1.8015945026087108,-0.30791166819979227,-0.6999939722826556,-2.6357685389316248,inf,1.089239668440286,1.957907066084642,-2.0018707364898582,0.9591378423074096,0.38561585027024603,inf,1.0620812171909835,0.03514946899049904,-1.2253955193755757,0.2186256562115044,0.35155499514549543,inf,inf,2.447857642737608,-0.45736467230440303,-0.94698269382949,0.294264639596999,1.063579257782463,inf,-1.7791903832705454,2.344191389126947,-0.361508128967549,-2.8445204148424117,-0.8298913022975428,inf,1.6514471988271848,2.53896307005804,-3.0073826027546344,2.3611524533763877,0.11671408528629848,inf,1.9329739834937392,-1.641906987974617,-0.7253550105395025,0.43513007155737643,1.3066520523212684,inf,2023,327.0,133,1085,336,142,0.16164112703905092,0.0657439446366782,0.5363321799307958,0.16608996539792387,0.07019278299555116,,,,,,,,,,,,,,,,,,,,,,,,
24,"LGG TMA 6_2_Core[1,12,H]_[18813,53727]_component_data.tif - resolution #1",inf,-0.32813149137607733,-0.7446631958156589,1.2327146047123942,0.09669831254535524,0.7194485775926579,inf,-1.9702054118360977,2.5978035043390624,-0.07486178473786373,0.21014963901013956,-4.412554815009576,inf,2.2633429825600504,0.6895941612800568,1.166724491698317,-0.2003631806629539,-0.5910647873038928,inf,1.1071051875821571,0.08623909024739111,-1.1521782607644626,-0.3584720042331388,1.1490241611411296,inf,inf,-2.674731488463413,-1.1230039470599054,2.4855151857984885,1.645614357535844,-2.010712198267827,inf,-0.5397691598172923,1.1026052197811071,1.149265458652659,-0.031701239631188975,-1.5968266946318914,inf,1.1150665395323132,-0.31452843920209655,2.79281184721023,-0.2713455914890896,-0.6695017235406623,inf,-0.08992174180588988,1.834366595258834,0.6576229809882075,-0.7957481741257612,0.05198411129025761,inf,3430,141.0,295,1937,902,155,0.041107871720116616,0.08600583090379009,0.5647230320699709,0.2629737609329446,0.04518950437317784,,,,,,,,,,,,,,,,,,,,,,,,
25,"LGG TMA 6_2_Core[1,12,I]_[20718,53846]_component_data.tif - resolution #1",inf,0.37659785162398757,0.2774647816513203,-0.2292213291549034,-0.08174201550905494,-0.43665560356885763,inf,0.6649483784115754,-0.19683124937728352,0.795459302890231,-0.8785831692850005,0.8072802903957197,inf,0.8362146133618454,-0.781463129123291,-1.4763909649497087,0.3641826465800793,1.475340951451619,inf,1.305827242152948,-0.7829433720681194,0.8826250563284407,-0.7914485439543424,0.8897998589515691,inf,inf,0.670870644066978,0.1266849445286736,-0.16754336818607002,-0.2688472664280816,-0.7104656927398161,inf,-0.18359521029010664,0.8209421927117647,-0.2514753173161571,-1.3455705289278972,0.17283241102585678,inf,1.1793872162810144,0.010031651905865753,-2.3403925379577646,1.80905008843212,1.6661022511698638,inf,2.1108598270750565,-1.4415966925076371,-0.12936420801009837,-0.16828559255375986,1.4343473189623799,inf,691,253.0,21,81,306,30,0.3661360347322721,0.030390738060781478,0.11722141823444283,0.44283646888567296,0.04341534008683068,,,,,,,,,,,,,,,,,,,,,,,,
26,"LGG TMA 6_2_Core[1,2,A]_[5755,36065]_component_data.tif - resolution #1",inf,0.9918956816971823,-0.2930931584004057,0.04847096834384311,0.19636972291348387,1.3763891782874509,inf,-1.1353139044079996,1.0499029289384334,0.15783570014317064,2.659310036373428,-0.33940935838555175,inf,-0.3303103138745711,-1.1378643829180752,1.5279503622886061,1.3171433627806102,-2.2720229094351825,inf,3.9032935985344577,0.8616077699194161,0.1844614251473325,-2.6322701297490734,3.4384720199660586,inf,inf,0.3187958770373052,-0.16911355029507052,-0.09660845617939112,0.46388232033350796,0.7473998170107546,inf,0.16020016399996737,0.04840241426357224,-1.0341173074672365,2.039414765121814,0.1648538221501499,inf,-0.4531275581217219,-0.7459615368462533,1.0477658926676054,-0.17689225365014163,-1.7886408428657594,inf,3.787257501136221,0.9001602321177166,-1.2601569065532188,-2.19490073409584,3.1854431597815878,inf,802,32.0,16,471,217,66,0.0399002493765586,0.0199501246882793,0.587281795511222,0.27057356608478805,0.08229426433915212,,,,,,,,,,,,,,,,,,,,,,,,
27,"LGG TMA 6_2_Core[1,2,C]_[9526,36224]_component_data.tif - resolution #1",inf,-1.3570545365423907,0.2236335332724746,-0.2485342579896047,0.930464464393968,-2.0437132329359513,inf,-0.6116479776858392,2.527422986218556,2.200615893438857,0.11844983630105813,0.30079260108223727,inf,-1.5969974986106035,2.175186698271277,0.23639266986412946,3.419141093759275,-0.9242523325325873,inf,-0.7475438208610896,-0.2725295391782585,2.0816480380072266,0.6525567649356011,-1.7350295537192713,inf,inf,0.6655228184768686,-0.7478575385415805,0.34793675211748804,0.9200404622882689,-0.7670417662532778,inf,-1.5565475221510534,2.6210754690948295,1.8121995760631198,-0.2943262796531523,0.3664921167874374,inf,-1.3453213167623217,2.610694733432121,0.7096562843212034,3.978524377234888,-1.2160895638362585,inf,-1.4723043854092304,-0.19948176374449753,2.0669110652245655,0.9703821760519046,-2.3635996338193475,inf,1370,401.0,50,629,217,73,0.2927007299270073,0.0364963503649635,0.4591240875912409,0.1583941605839416,0.05328467153284672,,,,,,,,,,,,,,,,,,,,,,,,
28,"LGG TMA 6_2_Core[1,2,D]_[11391,36224]_component_data.tif - resolution #1",inf,1.821030793309694,-1.2892665029138375,0.34538654110292416,0.5184719935610759,3.030926343165481,inf,-2.068698575533452,-0.8602352367536182,-0.9799079873140669,-1.5757807682723044,-2.9068881152174457,inf,2.187547719281735,1.8563210090537186,-0.8347452345400402,-1.9430502716695117,1.2942930062361506,inf,0.7738580170108502,-0.5664738318263207,-1.6208955599158474,0.9083747780784405,0.3739579099217853,inf,inf,0.12811115710501209,0.19954156416343016,-0.6181616811191782,0.6185472640449077,1.0362143425017931,inf,-1.0014882669283462,1.2167613717427257,-2.5508425251264155,-1.213053443750849,-2.1974660082133832,inf,1.6987172324340662,1.3664045079193385,-1.819263098441179,0.04520758143795455,1.713880278041092,inf,0.4808418983093605,-0.23662502547788797,-3.0381573005865694,1.1628417029910199,0.29963460271265774,inf,865,307.0,38,260,203,57,0.35491329479768785,0.04393063583815029,0.30057803468208094,0.23468208092485549,0.06589595375722543,,,,,,,,,,,,,,,,,,,,,,,,
29,"LGG TMA 6_2_Core[1,2,E]_[13256,36304]_component_data.tif - resolution #1",inf,4.709019260289007,-2.8084478195438503,3.950245269439694,1.1511137485155312,4.755497723584748,inf,-4.218140548850723,4.305239219860449,2.8724480484355714,0.5251469590744008,-3.1036703133224806,inf,0.23660148089264765,0.2920245626703309,4.9686867045605085,4.73333074856431,-2.663738481196353,inf,2.3020120792663374,1.7138948123570699,3.119376767770277,-1.85347082376418,2.165723487112927,inf,inf,2.2805053965485897,-3.2871096082424054,4.571476720824425,2.508815855073372,2.07339336226207,inf,-3.1243626976468413,4.30724533054938,1.6142663275205518,0.576873815370787,-0.9313900126276657,inf,0.23780475561874284,-0.4929742855726304,5.634166470598358,5.194412760013704,-3.369516753894675,inf,3.700078536941885,3.1908172701441275,2.157192307860937,-2.8722385140823903,3.669877647463331,inf,2952,138.0,24,2093,482,215,0.046747967479674794,0.008130081300813009,0.7090108401084011,0.1632791327913279,0.07283197831978319,,,,,,,,,,,,,,,,,,,,,,,,
30,"LGG TMA 6_2_Core[1,2,F]_[15082,36343]_component_data.tif - resolution #1",inf,-0.27059267861153014,-0.4585081888039775,1.751283413495959,-0.8541325624551547,0.17266597633376377,inf,-0.8163108428810245,0.28525590619592023,1.389013571341896,-0.6923428489113768,-1.4445170875104356,inf,0.1992099985074686,1.0726285572800942,0.8249840228918003,-0.16581261056982588,-1.0665270688534647,inf,1.2957146860628959,-1.4583741003084747,0.8733144815837006,0.18394992270370708,1.419556865952693,inf,inf,-0.13551980921914367,-1.0196067759374692,1.701460816810102,0.46554875122664696,-0.1641638589317443,inf,-1.5691183876697417,1.4987397011916406,2.353831843799022,-2.666331396911447,-1.7025442225580516,inf,1.3290393458972707,2.7458233734379998,-0.1497428953172901,1.244787726541308,-0.4447710397736948,inf,1.0283140443982675,-1.537732977772172,2.022334313979784,0.47297250146651704,0.7195086770211884,inf,1416,311.0,5,793,171,136,0.2196327683615819,0.0035310734463276836,0.5600282485875706,0.12076271186440678,0.096045197740113,,,,,,,,,,,,,,,,,,,,,,,,
31,"LGG TMA 6_2_Core[1,2,G]_[16947,36304]_component_data.tif - resolution #1",inf,-1.822838944558604,1.2931349513894417,0.07685899816133611,-0.9529527248105614,-1.6935898272273697,inf,-2.8922607967446528,6.468454545081459,5.330684508462629,2.2176732968075505,-2.7397038631838324,inf,-2.7139244987706754,-0.6240029546511461,-0.2955384620936327,6.114360155157439,-3.1548522350061132,inf,1.5454918619139402,-1.3883189757482581,4.940367576424159,-1.1829295781824627,1.4898411830026974,inf,inf,-2.0240777074463874,1.2490240039374703,-0.5195122968446054,0.044486100290037064,-2.4579314006929986,inf,-1.8082983849606018,7.441266067508017,4.073000749720251,1.2323758086184093,-1.4912207488596514,inf,-2.821254804151214,1.0886790188861675,-0.996355443551887,7.415291412619033,-3.132484822970374,inf,2.2452596475772637,-1.6455310627695487,3.425328761279249,-0.22704092595688416,1.7185183737481788,inf,710,375.0,47,210,43,35,0.528169014084507,0.06619718309859154,0.29577464788732394,0.06056338028169014,0.04929577464788732,,,,,,,,,,,,,,,,,,,,,,,,
32,"LGG TMA 6_2_Core[1,2,I]_[20638,36423]_component_data.tif - resolution #1",inf,1.1773208985108075,-0.38439784571238106,0.8853275590549721,-1.125819954169952,0.9431276877071934,inf,-0.7731067779982073,0.6380499935622703,0.008328344493144511,0.3332866659334301,0.277602147590974,inf,0.8158010078656972,-1.56191962437958,0.9688418834259732,1.095997450349118,-0.3682888796389134,inf,-0.628932670206107,-0.4734313534319777,0.8390590752243354,-0.4786813752805444,0.6286565392166052,inf,inf,1.4259577749604053,-0.07494685074275682,0.0697700408187701,-0.7534418355914121,1.2256370854326846,inf,-1.4603133742023384,1.9416162070153316,-0.6157509874276487,1.430574909336122,0.05076171263779481,inf,1.1037523673083602,-2.692367934988872,0.5727080388385578,2.731593884343488,-0.32479043908806726,inf,-1.3478601156159344,0.6101132570627223,0.6108084053563204,-0.7701602022213337,0.5638889424356186,inf,566,39.0,21,305,136,65,0.06890459363957598,0.037102473498233215,0.5388692579505301,0.24028268551236748,0.11484098939929328,,,,,,,,,,,,,,,,,,,,,,,,
